====================================================================================================
MTL-TLV A-H COMPLETE TRAINING LOG
====================================================================================================
Run start time       : 2026-09-08T15:45:52+08:00
Operating system     : Windows-10-10.0.26200-SP0
Python               : 3.9.25
PyTorch              : 2.1.1+cu118
CUDA runtime         : 11.8
cuDNN                : 8700
Device               : cuda:0
GPU                  : NVIDIA GeForce RTX 4090 D
GPU memory           : 23.99 GiB
----------------------------------------------------------------------------------------------------
CUBLAS_WORKSPACE_CONFIG: :4096:8
cudnn.deterministic  : True
cudnn.benchmark      : False
CUDA matmul TF32     : False
cuDNN TF32           : False
deterministic algorithms: True
====================================================================================================
Starting SMAC hyperparameter optimization
========================================================================================
SMAC trial 1/10 | LR=0.01 | WD=1e-06 | loss_weight=0.1
  Epoch 080/100 | Val Loss=2.4732 | Acc=95.16% | Precision=92.55% | Recall=94.36% | MAE=3.2658
  Epoch 081/100 | Val Loss=3.2085 | Acc=95.96% | Precision=94.59% | Recall=94.36% | MAE=4.4050
  Epoch 082/100 | Val Loss=2.7971 | Acc=95.25% | Precision=92.57% | Recall=94.61% | MAE=3.5779
  Epoch 083/100 | Val Loss=2.5872 | Acc=95.34% | Precision=93.00% | Recall=94.36% | MAE=3.2926
  Epoch 084/100 | Val Loss=2.5883 | Acc=95.52% | Precision=93.66% | Recall=94.12% | MAE=3.3713
  Epoch 085/100 | Val Loss=4.2500 | Acc=95.78% | Precision=95.24% | Recall=93.14% | MAE=5.7470
  Epoch 086/100 | Val Loss=3.3360 | Acc=95.61% | Precision=94.99% | Recall=92.89% | MAE=4.4353
  Epoch 087/100 | Val Loss=3.7427 | Acc=95.78% | Precision=94.13% | Recall=94.36% | MAE=5.1694
  Epoch 088/100 | Val Loss=2.6304 | Acc=95.78% | Precision=94.13% | Recall=94.36% | MAE=3.4227
  Epoch 089/100 | Val Loss=2.5768 | Acc=95.96% | Precision=95.04% | Recall=93.87% | MAE=3.2879
  Epoch 090/100 | Val Loss=2.7511 | Acc=95.78% | Precision=95.24% | Recall=93.14% | MAE=3.4775
  Epoch 091/100 | Val Loss=2.6970 | Acc=95.78% | Precision=94.35% | Recall=94.12% | MAE=3.4231
  Epoch 092/100 | Val Loss=2.9866 | Acc=95.61% | Precision=93.89% | Recall=94.12% | MAE=3.8301
  Epoch 093/100 | Val Loss=2.5054 | Acc=95.52% | Precision=93.45% | Recall=94.36% | MAE=3.2768
  Epoch 094/100 | Val Loss=2.3755 | Acc=95.61% | Precision=93.67% | Recall=94.36% | MAE=3.1345
  Epoch 095/100 | Val Loss=2.5615 | Acc=95.61% | Precision=94.10% | Recall=93.87% | MAE=3.3338
  Epoch 096/100 | Val Loss=2.7558 | Acc=96.05% | Precision=95.27% | Recall=93.87% | MAE=3.5431
  Epoch 097/100 | Val Loss=2.6297 | Acc=95.96% | Precision=95.04% | Recall=93.87% | MAE=3.3623
  Epoch 098/100 | Val Loss=3.7332 | Acc=95.96% | Precision=95.72% | Recall=93.14% | MAE=5.0039
  Epoch 099/100 | Val Loss=2.6119 | Acc=95.61% | Precision=95.91% | Recall=91.91% | MAE=3.2523
  Epoch 100/100 | Val Loss=2.5604 | Acc=95.61% | Precision=93.46% | Recall=94.61% | MAE=3.2315
